valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11189.0,162,31.0,289.0,107.0,,,,,,,,
11158.0,163,17.0,303.0,138.0,,,,,,,,
11160.0,164,27.0,293.0,136.0,,,,,,,,
11173.0,165,26.0,294.0,123.0,,,,,,,,
11175.0,166,24.0,296.0,121.0,,,,,,,,
11187.0,167,27.0,293.0,109.0,,,,,,,,
11178.0,168,23.0,297.0,118.0,,,,,,,,
11152.0,169,29.0,291.0,144.0,,,,,,,,
11167.0,170,27.0,293.0,129.0,,,,,,,,
11181.0,171,31.0,289.0,115.0,,,,,,,,
11175.0,172,29.0,291.0,121.0,,,,,,,,
11184.0,173,31.0,289.0,112.0,,,,,,,,
11143.0,174,32.0,288.0,153.0,,,,,,,,
11170.0,175,24.0,296.0,126.0,,,,,,,,
11168.0,176,24.0,296.0,128.0,,,,,,,,
11189.0,177,25.0,295.0,107.0,,,,,,,,
11159.0,178,36.0,284.0,137.0,,,,,,,,
11183.0,179,15.0,305.0,113.0,,,,,,,,
11168.0,180,31.0,289.0,128.0,,,,,,,,
11151.0,181,30.0,290.0,145.0,,,,,,,,
11180.0,182,34.0,286.0,116.0,,,,,,,,
11175.0,183,30.0,290.0,121.0,,,,,,,,
11156.0,184,34.0,286.0,140.0,,,,,,,,
11162.0,185,34.0,286.0,134.0,,,,,,,,
11155.0,186,39.0,281.0,141.0,,,,,,,,
11161.0,187,31.0,289.0,135.0,,,,,,,,
11173.0,188,31.0,289.0,123.0,,,,,,,,
11171.0,189,19.0,301.0,125.0,,,,,,,,
11168.0,190,24.0,296.0,128.0,,,,,,,,
11178.0,191,27.0,293.0,118.0,,,,,,,,
11188.0,192,24.0,296.0,108.0,,,,,,,,
11165.0,193,21.0,299.0,131.0,,,,,,,,
11164.0,194,25.0,295.0,132.0,,,,,,,,
11174.0,195,27.0,293.0,122.0,,,,,,,,
11158.0,196,35.0,285.0,138.0,,,,,,,,
11157.0,197,31.0,289.0,139.0,,,,,,,,
11157.0,198,36.0,284.0,139.0,,,,,,,,
11159.0,199,28.0,292.0,137.0,,,,,,,,
11159.0,200,31.0,289.0,137.0,,,,,,,,
11175.0,201,35.0,285.0,121.0,,,,,,,,
11161.0,202,31.0,289.0,135.0,,,,,,,,
11174.0,203,32.0,288.0,122.0,,,,,,,,
11188.0,204,31.0,289.0,108.0,,,,,,,,
11180.0,205,32.0,288.0,116.0,,,,,,,,
11178.0,206,28.0,292.0,118.0,,,,,,,,
11159.0,207,19.0,301.0,137.0,,,,,,,,
11183.0,208,21.0,299.0,113.0,,,,,,,,
11162.0,209,31.0,289.0,134.0,,,,,,,,
11164.0,210,31.0,289.0,132.0,,,,,,,,
11156.0,211,38.0,282.0,140.0,,,,,,,,
11144.0,212,45.0,275.0,152.0,,,,,,,,
11179.0,213,25.0,295.0,117.0,,,,,,,,
11156.0,214,27.0,293.0,140.0,,,,,,,,
11161.0,215,16.0,304.0,135.0,,,,,,,,
11155.0,216,26.0,294.0,141.0,,,,,,,,
11181.0,217,33.0,287.0,115.0,,,,,,,,
11195.0,218,21.0,299.0,101.0,,,,,,,,
11166.0,219,37.0,283.0,130.0,,,,,,,,
11174.0,220,23.0,297.0,122.0,,,,,,,,
11177.0,221,29.0,291.0,119.0,,,,,,,,
11153.0,222,36.0,284.0,143.0,,,,,,,,
11175.0,223,31.0,289.0,121.0,,,,,,,,
11152.0,224,28.0,292.0,144.0,,,,,,,,
11158.0,225,29.0,291.0,138.0,,,,,,,,
11151.0,226,29.0,291.0,145.0,,,,,,,,
11170.0,227,25.0,295.0,126.0,,,,,,,,
11169.0,228,36.0,284.0,127.0,,,,,,,,
11171.0,229,32.0,288.0,125.0,,,,,,,,
11188.0,230,20.0,300.0,108.0,,,,,,,,
11158.0,231,30.0,290.0,138.0,,,,,,,,
11182.0,232,23.0,297.0,114.0,,,,,,,,
11145.0,233,20.0,300.0,151.0,,,,,,,,
11159.0,234,30.0,290.0,137.0,,,,,,,,
11159.0,235,26.0,294.0,137.0,,,,,,,,
11167.0,236,35.0,285.0,129.0,,,,,,,,
11181.0,237,22.0,298.0,115.0,,,,,,,,
11158.0,238,25.0,295.0,138.0,,,,,,,,
11170.0,239,22.0,298.0,126.0,,,,,,,,
11182.0,240,32.0,288.0,114.0,,,,,,,,
11158.0,241,33.0,287.0,138.0,,,,,,,,
11188.0,242,27.0,293.0,108.0,,,,,,,,
11182.0,243,26.0,294.0,114.0,,,,,,,,
11175.0,244,21.0,299.0,121.0,,,,,,,,
11173.0,245,35.0,285.0,123.0,,,,,,,,
11202.0,246,26.0,294.0,94.0,,,,,,,,
11166.0,247,30.0,290.0,130.0,,,,,,,,
11168.0,248,37.0,283.0,128.0,,,,,,,,
11172.0,249,25.0,295.0,124.0,,,,,,,,
11182.0,250,24.0,296.0,114.0,,,,,,,,
11173.0,251,27.0,293.0,123.0,,,,,,,,
11162.0,252,26.0,294.0,134.0,,,,,,,,
11180.0,253,29.0,291.0,116.0,,,,,,,,
11182.0,254,22.0,298.0,114.0,,,,,,,,
11163.0,255,27.0,293.0,133.0,,,,,,,,
11169.0,256,34.0,286.0,127.0,,,,,,,,
11181.0,257,21.0,299.0,115.0,,,,,,,,
11174.0,258,35.0,285.0,122.0,,,,,,,,
11162.0,259,23.0,297.0,134.0,,,,,,,,
11182.0,260,38.0,282.0,114.0,,,,,,,,
11173.0,261,30.0,290.0,123.0,,,,,,,,
11171.0,262,22.0,298.0,125.0,,,,,,,,
11181.0,263,32.0,288.0,115.0,,,,,,,,
11179.0,264,32.0,288.0,117.0,,,,,,,,
11182.0,265,26.0,294.0,114.0,,,,,,,,
11167.0,266,39.0,281.0,129.0,,,,,,,,
11184.0,267,23.0,297.0,112.0,,,,,,,,
11163.0,268,26.0,294.0,133.0,,,,,,,,
11188.0,269,38.0,282.0,108.0,,,,,,,,
11177.0,270,30.0,290.0,119.0,,,,,,,,
11181.0,271,33.0,287.0,115.0,,,,,,,,
11165.0,272,24.0,296.0,131.0,,,,,,,,
11161.0,273,28.0,292.0,135.0,,,,,,,,
11168.0,274,28.0,292.0,128.0,,,,,,,,
11161.0,275,27.0,293.0,135.0,,,,,,,,
11183.0,276,25.0,295.0,113.0,,,,,,,,
11173.0,277,27.0,293.0,123.0,,,,,,,,
11171.0,278,26.0,294.0,125.0,,,,,,,,
11172.0,279,35.0,285.0,124.0,,,,,,,,
11184.0,280,31.0,289.0,112.0,,,,,,,,
11166.0,281,26.0,294.0,130.0,,,,,,,,
11160.0,282,28.0,292.0,136.0,,,,,,,,
11164.0,283,39.0,281.0,132.0,,,,,,,,
11167.0,284,24.0,296.0,129.0,,,,,,,,
11174.0,285,26.0,294.0,122.0,,,,,,,,
