valid_tp_step,step,valid_tn_step,valid_fn_step,valid_fp_step,valid_WAcc,epoch,valid_tp_epoch,valid_fp_epoch,valid_F1,valid_tn_epoch,valid_fn_epoch,valid_Loss
149.0,251,7295.0,1.0,4171.0,,,,,,,,
160.0,252,7296.0,0.0,4160.0,,,,,,,,
143.0,253,7294.0,2.0,4177.0,,,,,,,,
136.0,254,7296.0,0.0,4184.0,,,,,,,,
157.0,255,7293.0,3.0,4163.0,,,,,,,,
160.0,256,7295.0,1.0,4160.0,,,,,,,,
136.0,257,7296.0,0.0,4184.0,,,,,,,,
157.0,258,7296.0,0.0,4163.0,,,,,,,,
157.0,259,7296.0,0.0,4163.0,,,,,,,,
151.0,260,7295.0,1.0,4169.0,,,,,,,,
153.0,261,7296.0,0.0,4167.0,,,,,,,,
146.0,262,7295.0,1.0,4174.0,,,,,,,,
147.0,263,7296.0,0.0,4173.0,,,,,,,,
149.0,264,7296.0,0.0,4171.0,,,,,,,,
140.0,265,7296.0,0.0,4180.0,,,,,,,,
168.0,266,7296.0,0.0,4152.0,,,,,,,,
135.0,267,7296.0,0.0,4185.0,,,,,,,,
158.0,268,7295.0,1.0,4162.0,,,,,,,,
145.0,269,7295.0,1.0,4175.0,,,,,,,,
149.0,270,7296.0,0.0,4171.0,,,,,,,,
147.0,271,7295.0,1.0,4173.0,,,,,,,,
154.0,272,7295.0,1.0,4166.0,,,,,,,,
162.0,273,7295.0,1.0,4158.0,,,,,,,,
153.0,274,7293.0,3.0,4167.0,,,,,,,,
162.0,275,7296.0,0.0,4158.0,,,,,,,,
135.0,276,7293.0,3.0,4185.0,,,,,,,,
150.0,277,7296.0,0.0,4170.0,,,,,,,,
151.0,278,7296.0,0.0,4169.0,,,,,,,,
158.0,279,7295.0,1.0,4162.0,,,,,,,,
143.0,280,7296.0,0.0,4177.0,,,,,,,,
154.0,281,7294.0,2.0,4166.0,,,,,,,,
164.0,282,7296.0,0.0,4156.0,,,,,,,,
171.0,283,7296.0,0.0,4149.0,,,,,,,,
152.0,284,7295.0,1.0,4168.0,,,,,,,,
147.0,285,7295.0,1.0,4173.0,,,,,,,,
171.0,286,7296.0,0.0,4149.0,,,,,,,,
170.0,287,7295.0,1.0,4150.0,,,,,,,,
156.0,288,7295.0,1.0,4164.0,,,,,,,,
158.0,289,7296.0,0.0,4162.0,,,,,,,,
154.0,290,7295.0,1.0,4166.0,,,,,,,,
157.0,291,7296.0,0.0,4163.0,,,,,,,,
153.0,292,7296.0,0.0,4167.0,,,,,,,,
151.0,293,7295.0,1.0,4169.0,,,,,,,,
157.0,294,7296.0,0.0,4163.0,,,,,,,,
153.0,295,7295.0,1.0,4167.0,,,,,,,,
166.0,296,7295.0,1.0,4154.0,,,,,,,,
156.0,297,7296.0,0.0,4164.0,,,,,,,,
148.0,298,7296.0,0.0,4172.0,,,,,,,,
164.0,299,7296.0,0.0,4156.0,,,,,,,,
175.0,300,7296.0,0.0,4145.0,,,,,,,,
173.0,301,7293.0,3.0,4147.0,,,,,,,,
140.0,302,7296.0,0.0,4180.0,,,,,,,,
155.0,303,7296.0,0.0,4165.0,,,,,,,,
154.0,304,7296.0,0.0,4166.0,,,,,,,,
152.0,305,7296.0,0.0,4168.0,,,,,,,,
156.0,306,7294.0,2.0,4164.0,,,,,,,,
169.0,307,7296.0,0.0,4151.0,,,,,,,,
162.0,308,7295.0,1.0,4158.0,,,,,,,,
161.0,309,7296.0,0.0,4159.0,,,,,,,,
141.0,310,7295.0,1.0,4179.0,,,,,,,,
172.0,311,7296.0,0.0,4148.0,,,,,,,,
156.0,312,7294.0,2.0,4164.0,,,,,,,,
139.0,313,7295.0,1.0,4181.0,,,,,,,,
143.0,314,7295.0,1.0,4177.0,,,,,,,,
158.0,315,7296.0,0.0,4162.0,,,,,,,,
159.0,316,7295.0,1.0,4161.0,,,,,,,,
159.0,317,7296.0,0.0,4161.0,,,,,,,,
139.0,318,7296.0,0.0,4181.0,,,,,,,,
147.0,319,7296.0,0.0,4173.0,,,,,,,,
168.0,320,7296.0,0.0,4152.0,,,,,,,,
173.0,321,7295.0,1.0,4147.0,,,,,,,,
150.0,322,7296.0,0.0,4170.0,,,,,,,,
172.0,323,7295.0,1.0,4148.0,,,,,,,,
161.0,324,7296.0,0.0,4159.0,,,,,,,,
