valid_tn_step,valid_tp_step,valid_fp_step,step,valid_fn_step,valid_F1,valid_Loss,valid_fp_epoch,valid_tp_epoch,valid_tn_epoch,valid_WAcc,epoch,valid_fn_epoch
11464.0,0.0,0.0,193,152.0,,,,,,,,
11459.0,0.0,0.0,194,157.0,,,,,,,,
11467.0,0.0,0.0,195,149.0,,,,,,,,
11443.0,0.0,0.0,196,173.0,,,,,,,,
11446.0,0.0,0.0,197,170.0,,,,,,,,
11441.0,0.0,0.0,198,175.0,,,,,,,,
11451.0,0.0,0.0,199,165.0,,,,,,,,
11448.0,0.0,0.0,200,168.0,,,,,,,,
11460.0,0.0,0.0,201,156.0,,,,,,,,
11450.0,0.0,0.0,202,166.0,,,,,,,,
11462.0,0.0,0.0,203,154.0,,,,,,,,
11477.0,0.0,0.0,204,139.0,,,,,,,,
11468.0,0.0,0.0,205,148.0,,,,,,,,
11470.0,0.0,0.0,206,146.0,,,,,,,,
11460.0,0.0,0.0,207,156.0,,,,,,,,
11482.0,0.0,0.0,208,134.0,,,,,,,,
11451.0,0.0,0.0,209,165.0,,,,,,,,
11453.0,0.0,0.0,210,163.0,,,,,,,,
11438.0,0.0,0.0,211,178.0,,,,,,,,
11419.0,0.0,0.0,212,197.0,,,,,,,,
11474.0,0.0,0.0,213,142.0,,,,,,,,
11449.0,0.0,0.0,214,167.0,,,,,,,,
11465.0,0.0,0.0,215,151.0,,,,,,,,
11449.0,0.0,0.0,216,167.0,,,,,,,,
11468.0,0.0,0.0,217,148.0,,,,,,,,
11494.0,0.0,0.0,218,122.0,,,,,,,,
11449.0,0.0,0.0,219,167.0,,,,,,,,
11471.0,0.0,0.0,220,145.0,,,,,,,,
11468.0,0.0,0.0,221,148.0,,,,,,,,
11437.0,0.0,0.0,222,179.0,,,,,,,,
11464.0,0.0,0.0,223,152.0,,,,,,,,
11444.0,0.0,0.0,224,172.0,,,,,,,,
11449.0,0.0,0.0,225,167.0,,,,,,,,
11442.0,0.0,0.0,226,174.0,,,,,,,,
11465.0,0.0,0.0,227,151.0,,,,,,,,
11453.0,0.0,0.0,228,163.0,,,,,,,,
11459.0,0.0,0.0,229,157.0,,,,,,,,
11488.0,0.0,0.0,230,128.0,,,,,,,,
11448.0,0.0,0.0,231,168.0,,,,,,,,
11479.0,0.0,0.0,232,137.0,,,,,,,,
11445.0,0.0,0.0,233,171.0,,,,,,,,
11449.0,0.0,0.0,234,167.0,,,,,,,,
11453.0,0.0,0.0,235,163.0,,,,,,,,
11452.0,0.0,0.0,236,164.0,,,,,,,,
11479.0,0.0,0.0,237,137.0,,,,,,,,
11453.0,0.0,0.0,238,163.0,,,,,,,,
11468.0,0.0,0.0,239,148.0,,,,,,,,
11470.0,0.0,0.0,240,146.0,,,,,,,,
11445.0,0.0,0.0,241,171.0,,,,,,,,
11481.0,0.0,0.0,242,135.0,,,,,,,,
11476.0,0.0,0.0,243,140.0,,,,,,,,
11474.0,0.0,0.0,244,142.0,,,,,,,,
11458.0,0.0,0.0,245,158.0,,,,,,,,
11496.0,0.0,0.0,246,120.0,,,,,,,,
11456.0,0.0,0.0,247,160.0,,,,,,,,
11451.0,0.0,0.0,248,165.0,,,,,,,,
11467.0,0.0,0.0,249,149.0,,,,,,,,
11478.0,0.0,0.0,250,138.0,,,,,,,,
11466.0,0.0,0.0,251,150.0,,,,,,,,
11456.0,0.0,0.0,252,160.0,,,,,,,,
11471.0,0.0,0.0,253,145.0,,,,,,,,
11480.0,0.0,0.0,254,136.0,,,,,,,,
11456.0,0.0,0.0,255,160.0,,,,,,,,
11455.0,0.0,0.0,256,161.0,,,,,,,,
11480.0,0.0,0.0,257,136.0,,,,,,,,
11459.0,0.0,0.0,258,157.0,,,,,,,,
11459.0,0.0,0.0,259,157.0,,,,,,,,
11464.0,0.0,0.0,260,152.0,,,,,,,,
11463.0,0.0,0.0,261,153.0,,,,,,,,
11469.0,0.0,0.0,262,147.0,,,,,,,,
11469.0,0.0,0.0,263,147.0,,,,,,,,
11467.0,0.0,0.0,264,149.0,,,,,,,,
11476.0,0.0,0.0,265,140.0,,,,,,,,
11448.0,0.0,0.0,266,168.0,,,,,,,,
11481.0,0.0,0.0,267,135.0,,,,,,,,
11457.0,0.0,0.0,268,159.0,,,,,,,,
11470.0,0.0,0.0,269,146.0,,,,,,,,
11467.0,0.0,0.0,270,149.0,,,,,,,,
11468.0,0.0,0.0,271,148.0,,,,,,,,
11461.0,0.0,0.0,272,155.0,,,,,,,,
11453.0,0.0,0.0,273,163.0,,,,,,,,
