valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10132.0,1321.0,87.0,76.0,210,,,,,,,,
10135.0,1303.0,105.0,73.0,211,,,,,,,,
10113.0,1306.0,102.0,95.0,212,,,,,,,,
10142.0,1332.0,76.0,66.0,213,,,,,,,,
10122.0,1327.0,81.0,86.0,214,,,,,,,,
10118.0,1347.0,61.0,90.0,215,,,,,,,,
10115.0,1334.0,74.0,93.0,216,,,,,,,,
10132.0,1336.0,72.0,76.0,217,,,,,,,,
10146.0,1348.0,60.0,62.0,218,,,,,,,,
10120.0,1329.0,79.0,88.0,219,,,,,,,,
10128.0,1343.0,65.0,80.0,220,,,,,,,,
10127.0,1341.0,67.0,81.0,221,,,,,,,,
10118.0,1319.0,89.0,90.0,222,,,,,,,,
10129.0,1335.0,73.0,79.0,223,,,,,,,,
10114.0,1330.0,78.0,94.0,224,,,,,,,,
10127.0,1322.0,86.0,81.0,225,,,,,,,,
10117.0,1325.0,83.0,91.0,226,,,,,,,,
10135.0,1330.0,78.0,73.0,227,,,,,,,,
10130.0,1323.0,85.0,78.0,228,,,,,,,,
10133.0,1326.0,82.0,75.0,229,,,,,,,,
10136.0,1352.0,56.0,72.0,230,,,,,,,,
10126.0,1322.0,86.0,82.0,231,,,,,,,,
10140.0,1339.0,69.0,68.0,232,,,,,,,,
10112.0,1333.0,75.0,96.0,233,,,,,,,,
10114.0,1335.0,73.0,94.0,234,,,,,,,,
10129.0,1324.0,84.0,79.0,235,,,,,,,,
10135.0,1317.0,91.0,73.0,236,,,,,,,,
10136.0,1343.0,65.0,72.0,237,,,,,,,,
10123.0,1330.0,78.0,85.0,238,,,,,,,,
10127.0,1341.0,67.0,81.0,239,,,,,,,,
10141.0,1329.0,79.0,67.0,240,,,,,,,,
10118.0,1327.0,81.0,90.0,241,,,,,,,,
10145.0,1336.0,72.0,63.0,242,,,,,,,,
10141.0,1335.0,73.0,67.0,243,,,,,,,,
10127.0,1347.0,61.0,81.0,244,,,,,,,,
10131.0,1327.0,81.0,77.0,245,,,,,,,,
10154.0,1342.0,66.0,54.0,246,,,,,,,,
10128.0,1328.0,80.0,80.0,247,,,,,,,,
10129.0,1322.0,86.0,79.0,248,,,,,,,,
10129.0,1338.0,70.0,79.0,249,,,,,,,,
10134.0,1344.0,64.0,74.0,250,,,,,,,,
10131.0,1335.0,73.0,77.0,251,,,,,,,,
10116.0,1340.0,68.0,92.0,252,,,,,,,,
10132.0,1339.0,69.0,76.0,253,,,,,,,,
10149.0,1331.0,77.0,59.0,254,,,,,,,,
10127.0,1329.0,79.0,81.0,255,,,,,,,,
10137.0,1318.0,90.0,71.0,256,,,,,,,,
10129.0,1351.0,57.0,79.0,257,,,,,,,,
10128.0,1331.0,77.0,80.0,258,,,,,,,,
10140.0,1319.0,89.0,68.0,259,,,,,,,,
10141.0,1323.0,85.0,67.0,260,,,,,,,,
10132.0,1331.0,77.0,76.0,261,,,,,,,,
10137.0,1332.0,76.0,71.0,262,,,,,,,,
10136.0,1333.0,75.0,72.0,263,,,,,,,,
10141.0,1326.0,82.0,67.0,264,,,,,,,,
10137.0,1339.0,69.0,71.0,265,,,,,,,,
10128.0,1320.0,88.0,80.0,266,,,,,,,,
